pest,quarantine_status,rank_entry,hv_entry,rank_establishment,hv_establishment,rank_invasion,hv_invasion,rank_impact,hv_impact
Xiphinema bricolense,Other quarantine,13,0.270037616,24,0.161782953,19,0.051875166,27,0.097332883
Xiphinema californicum,Other quarantine,13,0.270037616,23,0.183234528,19,0.051875166,25,0.111335013
Xiphinema inaequale,Other quarantine,13,0.270037616,22,0.289056026,20,0.08287184,26,0.102467212
Xiphinema intermedium,Other quarantine,15,0.199799178,23,0.183234528,21,0.048555267,25,0.111335013
Xiphinema rivesi (non-EU populations),Other quarantine,13,0.270037616,23,0.183234528,20,0.08287184,27,0.097332883
Xiphinema tarjanense,Other quarantine,18,0.142503749,23,0.183234528,27,0.033297434,25,0.111335013
Xylella fastidiosa,Priority,7,0.529675259,28,0.048997175,21,0.048555267,33,0.052836155
Xylophilus ampelinus,RNQP,26,0.056074507,23,0.183234528,33,0.007517891,44,0.016881705
Xylosandrus crassiusculus,Other non-quarantine,11,0.326262622,20,0.352700607,17,0.086704249,20,0.134267357
Xyphon fulgidum,Other quarantine,44,0.004831871,29,0.043175871,60,0,31,0.057327926
Callidiellum villosulum,Other non-quarantine,23,0.068292112,28,0.048997175,33,0.007517891,53,0.005465422
Thekopsora minima,Other non-quarantine,6,0.737464594,2,0.886157341,5,0.645904863,27,0.097332883
